nama_provinsi,ipm,harapan_hidup,rata_lama_sekolah,pengeluaran_per_kapita,tahun,sumber
Aceh,72.55,70.20,9.18,10876,2023,BPS Indeks Pembangunan Manusia 2023
Sumatera Utara,73.50,69.83,9.78,12076,2023,BPS Indeks Pembangunan Manusia 2023
Sumatera Barat,73.65,69.11,9.10,11568,2023,BPS Indeks Pembangunan Manusia 2023
Riau,73.59,71.05,8.79,14276,2023,BPS Indeks Pembangunan Manusia 2023
Jambi,72.14,70.77,8.46,11547,2023,BPS Indeks Pembangunan Manusia 2023
Sumatera Selatan,70.90,70.19,8.16,11238,2023,BPS Indeks Pembangunan Manusia 2023
Bengkulu,71.59,69.99,9.01,10892,2023,BPS Indeks Pembangunan Manusia 2023
Lampung,70.45,71.08,7.94,10387,2023,BPS Indeks Pembangunan Manusia 2023
Kepulauan Bangka Belitung,72.49,70.22,7.85,14872,2023,BPS Indeks Pembangunan Manusia 2023
Kepulauan Riau,76.05,70.43,10.24,16543,2023,BPS Indeks Pembangunan Manusia 2023
DKI Jakarta,82.46,73.33,11.23,22876,2023,BPS Indeks Pembangunan Manusia 2023
Jawa Barat,73.08,73.48,8.55,12045,2023,BPS Indeks Pembangunan Manusia 2023
Jawa Tengah,72.74,74.75,7.82,11654,2023,BPS Indeks Pembangunan Manusia 2023
DI Yogyakarta,80.22,75.10,9.76,15432,2023,BPS Indeks Pembangunan Manusia 2023
Jawa Timur,72.83,71.19,7.59,12387,2023,BPS Indeks Pembangunan Manusia 2023
Banten,73.32,69.91,8.77,12954,2023,BPS Indeks Pembangunan Manusia 2023
Bali,77.13,72.43,9.09,16234,2023,BPS Indeks Pembangunan Manusia 2023
Nusa Tenggara Barat,68.65,67.46,7.53,9876,2023,BPS Indeks Pembangunan Manusia 2023
Nusa Tenggara Timur,65.90,66.29,7.49,8543,2023,BPS Indeks Pembangunan Manusia 2023
Kalimantan Barat,68.63,70.92,7.11,10234,2023,BPS Indeks Pembangunan Manusia 2023
Kalimantan Tengah,71.63,70.16,8.19,12876,2023,BPS Indeks Pembangunan Manusia 2023
Kalimantan Selatan,71.84,68.75,8.13,13456,2023,BPS Indeks Pembangunan Manusia 2023
Kalimantan Timur,78.20,73.88,9.68,17654,2023,BPS Indeks Pembangunan Manusia 2023
Kalimantan Utara,71.83,71.23,8.89,13987,2023,BPS Indeks Pembangunan Manusia 2023
Sulawesi Utara,73.59,71.14,10.11,12654,2023,BPS Indeks Pembangunan Manusia 2023
Sulawesi Tengah,69.79,68.49,8.42,10987,2023,BPS Indeks Pembangunan Manusia 2023
Sulawesi Selatan,72.83,71.92,8.29,11876,2023,BPS Indeks Pembangunan Manusia 2023
Sulawesi Tenggara,72.23,71.24,9.06,10543,2023,BPS Indeks Pembangunan Manusia 2023
Gorontalo,70.44,67.52,8.32,9876,2023,BPS Indeks Pembangunan Manusia 2023
Sulawesi Barat,66.11,65.38,7.30,9234,2023,BPS Indeks Pembangunan Manusia 2023
Maluku,70.38,65.85,10.06,10456,2023,BPS Indeks Pembangunan Manusia 2023
Maluku Utara,70.63,67.72,9.65,10876,2023,BPS Indeks Pembangunan Manusia 2023
Papua Barat,65.89,65.49,8.23,10234,2023,BPS Indeks Pembangunan Manusia 2023
Papua,62.25,65.42,6.51,9543,2023,BPS Indeks Pembangunan Manusia 2023
