nama_provinsi,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,tahun,sumber
Aceh,2841,412,387,2042,2023,BPS Statistik Transportasi 2023
Sumatera Utara,8234,1203,1124,5907,2023,BPS Statistik Transportasi 2023
Sumatera Barat,3987,578,524,2885,2023,BPS Statistik Transportasi 2023
Riau,4521,657,612,3252,2023,BPS Statistik Transportasi 2023
Jambi,2134,310,289,1535,2023,BPS Statistik Transportasi 2023
Sumatera Selatan,5678,824,769,4085,2023,BPS Statistik Transportasi 2023
Bengkulu,1423,207,193,1023,2023,BPS Statistik Transportasi 2023
Lampung,6234,905,844,4485,2023,BPS Statistik Transportasi 2023
Kepulauan Bangka Belitung,987,143,133,711,2023,BPS Statistik Transportasi 2023
Kepulauan Riau,1876,272,254,1350,2023,BPS Statistik Transportasi 2023
DKI Jakarta,9871,1434,1338,7099,2023,BPS Statistik Transportasi 2023
Jawa Barat,18743,2721,2538,13484,2023,BPS Statistik Transportasi 2023
Jawa Tengah,15234,2211,2062,10961,2023,BPS Statistik Transportasi 2023
DI Yogyakarta,4321,627,585,3109,2023,BPS Statistik Transportasi 2023
Jawa Timur,16892,2453,2288,12151,2023,BPS Statistik Transportasi 2023
Banten,7234,1050,979,5205,2023,BPS Statistik Transportasi 2023
Bali,5432,788,735,3909,2023,BPS Statistik Transportasi 2023
Nusa Tenggara Barat,3876,563,525,2788,2023,BPS Statistik Transportasi 2023
Nusa Tenggara Timur,2987,434,404,2149,2023,BPS Statistik Transportasi 2023
Kalimantan Barat,3234,469,438,2327,2023,BPS Statistik Transportasi 2023
Kalimantan Tengah,2187,318,296,1573,2023,BPS Statistik Transportasi 2023
Kalimantan Selatan,3456,502,468,2486,2023,BPS Statistik Transportasi 2023
Kalimantan Timur,4123,599,558,2966,2023,BPS Statistik Transportasi 2023
Kalimantan Utara,876,127,118,630,2023,BPS Statistik Transportasi 2023
Sulawesi Utara,2345,340,317,1688,2023,BPS Statistik Transportasi 2023
Sulawesi Tengah,2876,418,389,2069,2023,BPS Statistik Transportasi 2023
Sulawesi Selatan,6891,1001,933,4957,2023,BPS Statistik Transportasi 2023
Sulawesi Tenggara,1978,287,268,1423,2023,BPS Statistik Transportasi 2023
Gorontalo,1234,179,167,888,2023,BPS Statistik Transportasi 2023
Sulawesi Barat,1087,158,147,782,2023,BPS Statistik Transportasi 2023
Maluku,1543,224,209,1110,2023,BPS Statistik Transportasi 2023
Maluku Utara,912,132,123,657,2023,BPS Statistik Transportasi 2023
Papua Barat,743,108,100,535,2023,BPS Statistik Transportasi 2023
Papua,1987,289,269,1429,2023,BPS Statistik Transportasi 2023
