nama_provinsi,pct_miskin,jumlah_miskin_ribu,tahun,sumber
Aceh,14.45,788.3,2023,BPS Profil Kemiskinan Indonesia 2023
Sumatera Utara,8.15,1173.3,2023,BPS Profil Kemiskinan Indonesia 2023
Sumatera Barat,6.0,323.7,2023,BPS Profil Kemiskinan Indonesia 2023
Riau,6.82,511.4,2023,BPS Profil Kemiskinan Indonesia 2023
Jambi,7.63,262.1,2023,BPS Profil Kemiskinan Indonesia 2023
Sumatera Selatan,11.98,973.0,2023,BPS Profil Kemiskinan Indonesia 2023
Bengkulu,14.16,294.1,2023,BPS Profil Kemiskinan Indonesia 2023
Lampung,11.11,966.0,2023,BPS Profil Kemiskinan Indonesia 2023
Kepulauan Bangka Belitung,4.52,68.0,2023,BPS Profil Kemiskinan Indonesia 2023
Kepulauan Riau,5.69,128.5,2023,BPS Profil Kemiskinan Indonesia 2023
DKI Jakarta,4.44,480.5,2023,BPS Profil Kemiskinan Indonesia 2023
Jawa Barat,7.62,3874.3,2023,BPS Profil Kemiskinan Indonesia 2023
Jawa Tengah,10.77,3861.5,2023,BPS Profil Kemiskinan Indonesia 2023
DI Yogyakarta,11.04,467.4,2023,BPS Profil Kemiskinan Indonesia 2023
Jawa Timur,10.35,4102.7,2023,BPS Profil Kemiskinan Indonesia 2023
Banten,6.17,811.7,2023,BPS Profil Kemiskinan Indonesia 2023
Bali,4.25,188.0,2023,BPS Profil Kemiskinan Indonesia 2023
Nusa Tenggara Barat,13.85,740.8,2023,BPS Profil Kemiskinan Indonesia 2023
Nusa Tenggara Timur,19.96,1163.2,2023,BPS Profil Kemiskinan Indonesia 2023
Kalimantan Barat,6.78,386.8,2023,BPS Profil Kemiskinan Indonesia 2023
Kalimantan Tengah,5.22,144.5,2023,BPS Profil Kemiskinan Indonesia 2023
Kalimantan Selatan,4.61,202.0,2023,BPS Profil Kemiskinan Indonesia 2023
Kalimantan Timur,6.11,249.0,2023,BPS Profil Kemiskinan Indonesia 2023
Kalimantan Utara,6.65,51.7,2023,BPS Profil Kemiskinan Indonesia 2023
Sulawesi Utara,7.66,206.7,2023,BPS Profil Kemiskinan Indonesia 2023
Sulawesi Tengah,12.41,396.2,2023,BPS Profil Kemiskinan Indonesia 2023
Sulawesi Selatan,8.70,826.2,2023,BPS Profil Kemiskinan Indonesia 2023
Sulawesi Tenggara,11.19,315.2,2023,BPS Profil Kemiskinan Indonesia 2023
Gorontalo,15.51,186.3,2023,BPS Profil Kemiskinan Indonesia 2023
Sulawesi Barat,11.24,162.1,2023,BPS Profil Kemiskinan Indonesia 2023
Maluku,16.23,322.7,2023,BPS Profil Kemiskinan Indonesia 2023
Maluku Utara,6.43,85.1,2023,BPS Profil Kemiskinan Indonesia 2023
Papua Barat,20.49,239.5,2023,BPS Profil Kemiskinan Indonesia 2023
Papua,26.03,936.5,2023,BPS Profil Kemiskinan Indonesia 2023
