nama_provinsi,crime_rate_per_100k,tahun,sumber
Aceh,87,2023,BPS Statistik Kriminal 2023
Sumatera Utara,78,2023,BPS Statistik Kriminal 2023
Sumatera Barat,72,2023,BPS Statistik Kriminal 2023
Riau,91,2023,BPS Statistik Kriminal 2023
Jambi,69,2023,BPS Statistik Kriminal 2023
Sumatera Selatan,74,2023,BPS Statistik Kriminal 2023
Bengkulu,81,2023,BPS Statistik Kriminal 2023
Lampung,68,2023,BPS Statistik Kriminal 2023
Kepulauan Bangka Belitung,95,2023,BPS Statistik Kriminal 2023
Kepulauan Riau,110,2023,BPS Statistik Kriminal 2023
DKI Jakarta,256,2023,BPS Statistik Kriminal 2023
Jawa Barat,62,2023,BPS Statistik Kriminal 2023
Jawa Tengah,55,2023,BPS Statistik Kriminal 2023
DI Yogyakarta,99,2023,BPS Statistik Kriminal 2023
Jawa Timur,59,2023,BPS Statistik Kriminal 2023
Banten,79,2023,BPS Statistik Kriminal 2023
Bali,98,2023,BPS Statistik Kriminal 2023
Nusa Tenggara Barat,88,2023,BPS Statistik Kriminal 2023
Nusa Tenggara Timur,65,2023,BPS Statistik Kriminal 2023
Kalimantan Barat,83,2023,BPS Statistik Kriminal 2023
Kalimantan Tengah,104,2023,BPS Statistik Kriminal 2023
Kalimantan Selatan,93,2023,BPS Statistik Kriminal 2023
Kalimantan Timur,125,2023,BPS Statistik Kriminal 2023
Kalimantan Utara,118,2023,BPS Statistik Kriminal 2023
Sulawesi Utara,87,2023,BPS Statistik Kriminal 2023
Sulawesi Tengah,98,2023,BPS Statistik Kriminal 2023
Sulawesi Selatan,86,2023,BPS Statistik Kriminal 2023
Sulawesi Tenggara,79,2023,BPS Statistik Kriminal 2023
Gorontalo,77,2023,BPS Statistik Kriminal 2023
Sulawesi Barat,85,2023,BPS Statistik Kriminal 2023
Maluku,112,2023,BPS Statistik Kriminal 2023
Maluku Utara,95,2023,BPS Statistik Kriminal 2023
Papua Barat,134,2023,BPS Statistik Kriminal 2023
Papua,128,2023,BPS Statistik Kriminal 2023
