nama_provinsi,jumlah_kasus,tersangka,prevalensi_pct,tahun,sumber
Aceh,1243,1876,1.98,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sumatera Utara,3412,4987,2.41,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sumatera Barat,987,1432,1.76,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Riau,1876,2654,2.15,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Jambi,743,1087,1.65,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sumatera Selatan,1654,2398,1.89,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Bengkulu,432,634,1.54,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Lampung,1543,2234,1.78,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kepulauan Bangka Belitung,387,563,1.71,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kepulauan Riau,1123,1654,2.32,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
DKI Jakarta,4532,6789,2.87,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Jawa Barat,5678,8234,1.95,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Jawa Tengah,3234,4876,1.62,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
DI Yogyakarta,876,1287,1.73,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Jawa Timur,4987,7234,1.88,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Banten,2134,3098,1.91,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Bali,987,1432,1.43,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Nusa Tenggara Barat,654,954,1.35,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Nusa Tenggara Timur,432,631,1.21,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kalimantan Barat,876,1278,1.58,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kalimantan Tengah,543,792,1.47,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kalimantan Selatan,765,1116,1.64,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kalimantan Timur,1234,1798,2.05,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Kalimantan Utara,213,311,1.32,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sulawesi Utara,876,1278,2.21,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sulawesi Tengah,543,792,1.43,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sulawesi Selatan,1876,2734,1.87,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sulawesi Tenggara,432,630,1.38,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Gorontalo,234,341,1.29,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Sulawesi Barat,198,288,1.24,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Maluku,387,564,1.52,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Maluku Utara,276,402,1.41,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Papua Barat,312,455,1.67,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
Papua,654,954,1.73,2023,BNN Survei Nasional Penyalahgunaan Narkoba 2023
