nama_provinsi,tpt_pct,jumlah_pengangguran_ribu,tahun,sumber
Aceh,6.03,189.8,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sumatera Utara,5.89,455.2,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sumatera Barat,5.94,201.3,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Riau,4.20,167.3,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Jambi,4.30,89.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sumatera Selatan,4.11,186.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Bengkulu,3.42,46.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Lampung,4.23,217.6,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kepulauan Bangka Belitung,4.56,37.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kepulauan Riau,8.23,108.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
DKI Jakarta,7.57,520.9,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Jawa Barat,7.89,2249.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Jawa Tengah,5.14,1053.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
DI Yogyakarta,3.69,87.2,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Jawa Timur,4.88,1172.4,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Banten,8.09,627.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Bali,2.69,72.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Nusa Tenggara Barat,2.80,80.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Nusa Tenggara Timur,3.14,104.3,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kalimantan Barat,4.27,141.7,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kalimantan Tengah,4.01,68.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kalimantan Selatan,4.26,107.1,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kalimantan Timur,5.71,131.8,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Kalimantan Utara,4.18,18.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sulawesi Utara,7.02,122.5,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sulawesi Tengah,3.02,59.3,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sulawesi Selatan,5.21,284.2,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sulawesi Tenggara,3.15,56.6,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Gorontalo,4.28,30.5,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Sulawesi Barat,2.43,20.0,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Maluku,7.55,90.6,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Maluku Utara,4.31,37.9,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Papua Barat,5.38,43.2,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
Papua,3.06,77.1,2023,BPS Keadaan Ketenagakerjaan Indonesia Februari 2023
